material_id,material_name,category,sub_category,current_quantity,threshold,reusable_quantity,status,unit_price,total_value,location,grade,thickness,length,width,weight,voltage_rating,conductor_size,is_optimal,is_low,is_critical,is_out_of_stock,supplier,last_updated,days_since_update
"1001",,"Metering","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","PowerSteel Ltd.",,"NaN"
"1002",,"Electrical","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","StructoBuild",,"NaN"
"1003",,"Metering","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","WireMasters",,"NaN"
"1004",,"Electrical","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","ABC Electrics",,"NaN"
"1005",,"Metering","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","SafeLine",,"NaN"
"1006",,"Communication","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","FiberWorld",,"NaN"
"1007",,"Electrical","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","StructoBuild",,"NaN"
"1008",,"Electrical","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","MegaPower",,"NaN"
"1009",,"Structural","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","SafeLine",,"NaN"
"1010",,"Insulation","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","WireMasters",,"NaN"
"1011",,"Hardware","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","SafeLine",,"NaN"
"1012",,"Communication","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","WireMasters",,"NaN"
"1013",,"Hardware","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","SafeLine",,"NaN"
"1014",,"Electrical","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","RelayCorp",,"NaN"
"1015",,"Electrical","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","InsulaTech",,"NaN"
"1016",,"Structural","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","PowerSteel Ltd.",,"NaN"
"1017",,"Control Systems","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","RelayCorp",,"NaN"
"1018",,"Insulation","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","SafeLine",,"NaN"
"1019",,"Electrical","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","WireMasters",,"NaN"
"1020",,"Insulation","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","WireMasters",,"NaN"
"1021",,"Insulation","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","RelayCorp",,"NaN"
"1022",,"Control Systems","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","StructoBuild",,"NaN"
"1023",,"Control Systems","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","StructoBuild",,"NaN"
"1024",,"Protection","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","VoltCorp",,"NaN"
"1025",,"Protection","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","WireMasters",,"NaN"
"1026",,"Metering","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","RelayCorp",,"NaN"
"1027",,"Structural","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","InsulaTech",,"NaN"
"1028",,"Protection","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","FiberWorld",,"NaN"
"1029",,"Protection","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","FiberWorld",,"NaN"
"1030",,"Communication","General",,,,,"0","NaN",,"","0","0","0","0","","","0","0","0","0","FiberWorld",,"NaN"
